Date,Section,Type,Rev Multiple (x),Enterprise Value ($B),Market Cap ($B),LTM Revenue ($B),Rev Growth (%),LTM EBITDA ($B),EBITDA Margin (%),LTM Op CF ($B),Debt ($B),Cash ($B)
2026-06-12,All Companies,Median,3.46,4.92,5.07,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-12,All Companies,Average,6.2,61.26,60.94,7.21,18.51,2.96,6.35,2.71,2.99,2.67
2026-06-12,Above Median Growth,Median,5.61,8.21,9.62,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-12,Above Median Growth,Average,9.54,112.22,112.02,11.15,27.7,5.12,-2.44,4.32,4.08,3.88
2026-06-12,Top 30 Fastest Growing,Median,5.99,8.45,9.71,1.37,25.7,0.0,0.36,0.3,0.23,1.17
2026-06-12,Top 30 Fastest Growing,Average,10.76,39.04,40.29,2.91,29.97,0.15,-4.75,0.73,0.74,1.99
2026-06-12,Top 30 Most Profitable,Median,3.37,5.62,5.76,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-12,Top 30 Most Profitable,Average,6.24,130.21,128.41,15.43,13.86,7.48,25.91,6.17,6.57,4.77
2026-06-13,All Companies,Median,3.46,4.92,5.07,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-13,All Companies,Average,6.2,61.26,60.94,7.21,18.51,2.96,6.35,2.71,2.99,2.67
2026-06-13,Above Median Growth,Median,5.61,8.21,9.62,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-13,Above Median Growth,Average,9.54,112.22,112.02,11.15,27.7,5.12,-2.44,4.32,4.08,3.88
2026-06-13,Top 30 Fastest Growing,Median,5.99,8.45,9.71,1.37,25.7,0.0,0.36,0.3,0.23,1.17
2026-06-13,Top 30 Fastest Growing,Average,10.76,39.04,40.29,2.91,29.97,0.15,-4.75,0.73,0.74,1.99
2026-06-13,Top 30 Most Profitable,Median,3.37,5.62,5.76,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-13,Top 30 Most Profitable,Average,6.24,130.21,128.41,15.43,13.86,7.48,25.91,6.17,6.57,4.77
2026-06-14,All Companies,Median,3.46,4.92,5.07,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-14,All Companies,Average,6.2,61.26,60.94,7.21,18.51,2.96,6.35,2.71,2.99,2.67
2026-06-14,Above Median Growth,Median,5.61,8.21,9.62,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-14,Above Median Growth,Average,9.54,112.22,112.02,11.15,27.7,5.12,-2.44,4.32,4.08,3.88
2026-06-14,Top 30 Fastest Growing,Median,5.99,8.45,9.71,1.37,25.7,0.0,0.36,0.3,0.23,1.17
2026-06-14,Top 30 Fastest Growing,Average,10.76,39.04,40.29,2.91,29.97,0.15,-4.75,0.73,0.74,1.99
2026-06-14,Top 30 Most Profitable,Median,3.37,5.62,5.76,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-14,Top 30 Most Profitable,Average,6.24,130.21,128.41,15.43,13.86,7.48,25.91,6.17,6.57,4.77
2026-06-15,All Companies,Median,3.41,4.86,5.19,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-15,All Companies,Average,6.33,62.65,62.33,7.21,18.51,2.96,6.35,2.71,2.99,2.67
2026-06-15,Above Median Growth,Median,5.54,8.2,9.74,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-15,Above Median Growth,Average,9.78,115.01,114.81,11.15,27.7,5.12,-2.44,4.32,4.08,3.88
2026-06-15,Top 30 Fastest Growing,Median,6.11,8.6,9.76,1.37,25.7,0.0,0.36,0.3,0.23,1.17
2026-06-15,Top 30 Fastest Growing,Average,11.04,40.23,41.48,2.91,29.97,0.15,-4.75,0.73,0.74,1.99
2026-06-15,Top 30 Most Profitable,Median,3.39,5.52,5.66,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-15,Top 30 Most Profitable,Average,6.42,133.28,131.47,15.43,13.86,7.48,25.91,6.17,6.57,4.77
